channel,links,logo,Field 4
BeIn Max 1SD,http://95.170.215.101/hls/Bein-Max-HD1-MCR.m3u8,https://goo.gl/wLnk9L,
BeIn Max 2SD,http://95.170.215.101/hls/Bein-Max-HD2-MCR.m3u8,https://goo.gl/wLnk9L,
BeIn Max 3SD,http://95.170.215.101/hls/Bein-Max-HD3-MCR.m3u8,https://goo.gl/wLnk9L,
BeIn Max 4SD,http://95.170.215.101/hls/Bein-Max-HD4-MCR.m3u8,https://goo.gl/wLnk9L,
BEINSPORTS-1 SD,http://163.172.117.134:80/live.ts?channelId=178,https://goo.gl/KT6bko,
BEINSPORTS-2 SD,http://163.172.117.134:80/live.ts?channelId=179,https://goo.gl/pAC3pi,
BEINSPORTS-3 SD,http://163.172.117.134:80/live.ts?channelId=180,https://goo.gl/pE62z2,
BEINSPORTS-4 SD,http://163.172.117.134:80/live.ts?channelId=181,https://goo.gl/expt4F,
BEINSPORTS-5 SD,http://163.172.117.134:80/live.ts?channelId=182,https://goo.gl/9pqnYc,
BEINSPORTS-6 SD,http://163.172.117.134:80/live.ts?channelId=183,https://goo.gl/W4PDmE,
BEINSPORTS-7 SD,http://163.172.117.134:80/live.ts?channelId=184,https://goo.gl/GzPnG9,
BEINSPORTS-8 SD,http://163.172.117.134:80/live.ts?channelId=185,https://goo.gl/H4wA9v,
BEINSPORTS-9 SD,http://163.172.117.134:80/live.ts?channelId=186,https://goo.gl/DJDcyR,
BEINSPORTS-10 SD,http://163.172.117.134:80/live.ts?channelId=187,https://goo.gl/XE4HXn,
BEINSPORTS-11 SD,http://163.172.117.134:80/live.ts?channelId=188,https://goo.gl/wLnk9L,
BEINSPORTS-12 SD,http://163.172.117.134:80/live.ts?channelId=189,https://goo.gl/wLnk9L,
,,,
,,,
